epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.356,1.30626,4.59791,0.99753,0.83287,0.93432,0.89146,0.58605,1.17154,4.04089,0.97319,0.000540231,0.000540231,0.000540231
2,257.927,1.30295,3.03464,0.98009,0.72738,0.83558,0.84764,0.55257,1.28239,3.49801,0.96171,0.0010742,0.0010742,0.0010742
3,388.739,1.35786,2.44967,1.03388,0.70291,0.90168,0.87927,0.55118,1.17988,2.12786,0.87842,0.00158616,0.00158616,0.00158616
4,521.369,1.40763,2.0348,1.01254,0.73818,0.87957,0.84955,0.50578,1.24217,1.83652,0.91454,0.00156798,0.00156798,0.00156798
5,648.934,1.35423,1.56515,1.06976,0.91845,0.92431,0.92429,0.59998,1.14545,1.33628,0.85631,0.00153497,0.00153497,0.00153497
6,782.833,1.36364,1.33085,1.00699,0.90605,0.82639,0.82579,0.48612,1.57315,1.50952,1.07579,0.00150197,0.00150197,0.00150197
7,919.433,1.26539,1.21663,1.03175,0.83282,0.73043,0.75264,0.49312,1.51,1.51561,1.11239,0.00146896,0.00146896,0.00146896
8,1048.92,1.3054,1.08572,1.00028,0.68013,0.75,0.71332,0.49051,1.42226,1.15583,0.99745,0.00143595,0.00143595,0.00143595
9,1163.08,1.27853,0.98264,1.01973,0.84779,0.89032,0.9165,0.628,1.26759,0.87412,0.94365,0.00140295,0.00140295,0.00140295
10,1279.22,1.22153,0.91866,0.97961,0.82609,0.91717,0.94487,0.63033,1.10663,0.82166,0.8555,0.00136994,0.00136994,0.00136994
11,1395.78,1.19608,0.8573,0.99247,0.88218,0.98918,0.9895,0.68795,1.08665,0.72836,0.86553,0.00133693,0.00133693,0.00133693
12,1519.74,1.16285,0.84763,0.95544,0.94891,0.8125,0.91069,0.65443,1.07129,0.78347,0.84977,0.00130393,0.00130393,0.00130393
