time,phase,target_x,target_y,target_z,drone_x,drone_y,drone_z
1.02,FLY_TO_START,1302.436,5.568093,1157.87,1295.531,3.402883,1162.284
1.04,FLY_TO_START,1302.601,5.618452,1157.77,1295.567,3.408746,1162.251
1.06,FLY_TO_START,1302.766,5.668809,1157.669,1295.603,3.414753,1162.219
1.08,FLY_TO_START,1302.932,5.719168,1157.569,1295.638,3.420932,1162.187
1.1,FLY_TO_START,1303.097,5.769526,1157.468,1295.673,3.427308,1162.155
1.12,FLY_TO_START,1303.263,5.819884,1157.368,1295.708,3.433914,1162.124
1.14,FLY_TO_START,1303.428,5.870242,1157.267,1295.742,3.440777,1162.093
1.16,FLY_TO_START,1303.594,5.9206,1157.167,1295.776,3.447927,1162.063
1.18,FLY_TO_START,1303.759,5.970958,1157.066,1295.809,3.455386,1162.033
1.2,FLY_TO_START,1303.924,6.021316,1156.966,1295.843,3.463174,1162.004
1.22,FLY_TO_START,1304.09,6.071674,1156.865,1295.876,3.471302,1161.975
1.24,FLY_TO_START,1304.255,6.122032,1156.765,1295.909,3.479773,1161.947
1.26,FLY_TO_START,1304.421,6.17239,1156.664,1295.943,3.488583,1161.919
1.279999,FLY_TO_START,1304.586,6.222748,1156.564,1295.976,3.497718,1161.893
1.3,FLY_TO_START,1304.751,6.273106,1156.463,1296.009,3.507161,1161.866
1.32,FLY_TO_START,1304.917,6.323464,1156.363,1296.042,3.516888,1161.841
1.34,FLY_TO_START,1305.082,6.373822,1156.262,1296.076,3.526873,1161.816
1.36,FLY_TO_START,1305.248,6.424181,1156.162,1296.11,3.537091,1161.791
1.38,FLY_TO_START,1305.413,6.474538,1156.061,1296.144,3.547516,1161.767
1.399999,FLY_TO_START,1305.578,6.524897,1155.961,1296.179,3.558125,1161.744
1.419999,FLY_TO_START,1305.744,6.575254,1155.86,1296.213,3.568899,1161.721
1.439999,FLY_TO_START,1305.909,6.625613,1155.76,1296.248,3.579818,1161.699
1.459999,FLY_TO_START,1306.075,6.675971,1155.659,1296.284,3.590866,1161.677
1.479999,FLY_TO_START,1306.24,6.726329,1155.558,1296.319,3.602028,1161.655
1.5,FLY_TO_START,1306.405,6.776687,1155.458,1296.355,3.613288,1161.634
1.52,FLY_TO_START,1306.571,6.827046,1155.357,1296.391,3.624629,1161.612
1.539999,FLY_TO_START,1306.736,6.877403,1155.257,1296.428,3.636036,1161.592
1.559999,FLY_TO_START,1306.902,6.927763,1155.156,1296.465,3.647491,1161.571
1.579999,PAUSE_AT_START,1307.06,6.976,1155.06,1296.502,3.658975,1161.55
1.599999,PAUSE_AT_START,1307.06,6.976,1155.06,1296.539,3.670465,1161.53
1.619999,PAUSE_AT_START,1307.06,6.976,1155.06,1296.576,3.681939,1161.51
1.639999,PAUSE_AT_START,1307.06,6.976,1155.06,1296.614,3.693373,1161.49
1.659999,PAUSE_AT_START,1307.06,6.976,1155.06,1296.652,3.704743,1161.47
1.679999,PAUSE_AT_START,1307.06,6.976,1155.06,1296.69,3.716027,1161.45
1.699999,PAUSE_AT_START,1307.06,6.976,1155.06,1296.728,3.72721,1161.43
1.719999,PAUSE_AT_START,1307.06,6.976,1155.06,1296.766,3.738272,1161.41
1.739999,PAUSE_AT_START,1307.06,6.976,1155.06,1296.805,3.749212,1161.39
1.759999,PAUSE_AT_START,1307.06,6.976,1155.06,1296.843,3.76002,1161.37
1.779999,PAUSE_AT_START,1307.06,6.976,1155.06,1296.882,3.770708,1161.349
1.799999,PAUSE_AT_START,1307.06,6.976,1155.06,1296.921,3.781286,1161.329
1.819999,PAUSE_AT_START,1307.06,6.976,1155.06,1296.961,3.791773,1161.308
1.839999,PAUSE_AT_START,1307.06,6.976,1155.06,1297,3.802184,1161.287
1.859999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.04,3.812539,1161.265
1.879999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.079,3.822861,1161.244
1.899999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.119,3.833172,1161.222
1.919999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.159,3.843491,1161.199
1.939999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.199,3.853835,1161.177
1.959999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.239,3.864219,1161.154
1.979999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.279,3.874656,1161.13
1.999999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.318,3.885156,1161.106
2.019999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.358,3.895725,1161.083
2.039999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.398,3.906369,1161.058
2.059999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.438,3.917088,1161.034
2.079999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.477,3.927884,1161.009
2.099999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.516,3.938752,1160.984
2.119999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.555,3.949686,1160.959
2.139999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.594,3.960682,1160.934
2.159999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.633,3.971732,1160.909
2.179999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.672,3.982828,1160.884
2.199999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.71,3.993961,1160.859
2.219999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.749,4.005117,1160.833
2.239999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.787,4.016289,1160.808
2.259999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.825,4.027463,1160.783
2.279999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.863,4.038631,1160.758
2.299999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.901,4.049784,1160.733
2.319999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.939,4.060915,1160.708
2.339999,PAUSE_AT_START,1307.06,6.976,1155.06,1297.976,4.072018,1160.683
2.359999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.014,4.083088,1160.658
2.379999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.052,4.094122,1160.633
2.399999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.089,4.105119,1160.609
2.419999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.126,4.11608,1160.584
2.439999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.163,4.127011,1160.56
2.459999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.201,4.137919,1160.536
2.479999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.238,4.14881,1160.512
2.499999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.275,4.159691,1160.488
2.519999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.312,4.17057,1160.464
2.539999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.349,4.181454,1160.441
2.559999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.385,4.192357,1160.417
2.579999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.422,4.203285,1160.394
2.599999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.459,4.214245,1160.371
2.619999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.496,4.225241,1160.348
2.639999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.533,4.236281,1160.325
2.659999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.57,4.247374,1160.302
2.679999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.607,4.258517,1160.279
2.699999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.644,4.269715,1160.256
2.719999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.681,4.280966,1160.234
2.739999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.718,4.292271,1160.211
2.759999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.755,4.303627,1160.188
2.779999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.792,4.315035,1160.166
2.799999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.829,4.326488,1160.143
2.819999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.867,4.337985,1160.121
2.839999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.904,4.34952,1160.098
2.859999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.941,4.361092,1160.075
2.879999,PAUSE_AT_START,1307.06,6.976,1155.06,1298.979,4.372694,1160.053
2.899999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.017,4.384318,1160.03
2.919999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.054,4.395963,1160.008
2.939999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.092,4.407619,1159.985
2.959999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.13,4.419282,1159.962
2.979999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.168,4.430948,1159.939
2.999999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.205,4.442608,1159.917
3.019999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.243,4.454262,1159.894
3.039999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.281,4.465901,1159.871
3.059999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.319,4.477521,1159.848
3.079999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.357,4.489117,1159.825
3.099999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.395,4.500686,1159.802
3.119999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.433,4.512223,1159.779
3.139999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.471,4.523729,1159.756
3.159999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.509,4.535201,1159.733
3.179999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.547,4.546637,1159.71
3.199999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.585,4.558041,1159.686
3.219999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.623,4.569413,1159.663
3.239999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.661,4.580757,1159.64
3.259999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.699,4.592073,1159.617
3.279999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.737,4.603365,1159.593
3.299999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.775,4.614639,1159.57
3.319999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.813,4.625899,1159.546
3.339999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.851,4.637149,1159.523
3.359999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.889,4.648392,1159.499
3.379999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.927,4.659634,1159.476
3.399999,PAUSE_AT_START,1307.06,6.976,1155.06,1299.965,4.670877,1159.452
3.419999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.003,4.682125,1159.429
3.439999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.041,4.693381,1159.405
3.459999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.079,4.704648,1159.381
3.479999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.117,4.715928,1159.358
3.499999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.156,4.727221,1159.334
3.519999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.194,4.738527,1159.31
3.539999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.232,4.749848,1159.286
3.559999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.27,4.761183,1159.262
3.579999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.308,4.772531,1159.239
3.599999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.346,4.783889,1159.215
3.619999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.384,4.795257,1159.191
3.639999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.422,4.806633,1159.167
3.659999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.46,4.818016,1159.143
3.679999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.498,4.829406,1159.12
3.699999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.536,4.840801,1159.096
3.719999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.574,4.852197,1159.072
3.739999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.612,4.863595,1159.048
3.759999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.65,4.874993,1159.025
3.779999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.687,4.886392,1159.001
3.799999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.725,4.897794,1158.977
3.819999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.763,4.909197,1158.954
3.839999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.801,4.920602,1158.93
3.859999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.838,4.932014,1158.906
3.879999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.876,4.943429,1158.883
3.899999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.914,4.954849,1158.859
3.919999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.951,4.96628,1158.836
3.939999,PAUSE_AT_START,1307.06,6.976,1155.06,1300.989,4.977724,1158.813
3.959999,PAUSE_AT_START,1307.06,6.976,1155.06,1301.026,4.989179,1158.789
3.979999,PAUSE_AT_START,1307.06,6.976,1155.06,1301.064,5.000648,1158.766
3.999999,PAUSE_AT_START,1307.06,6.976,1155.06,1301.101,5.012135,1158.742
4.019999,PAUSE_AT_START,1307.06,6.976,1155.06,1301.139,5.023643,1158.719
4.039999,PAUSE_AT_START,1307.06,6.976,1155.06,1301.176,5.035168,1158.696
4.059999,PAUSE_AT_START,1307.06,6.976,1155.06,1301.214,5.046711,1158.673
4.079998,PAUSE_AT_START,1307.06,6.976,1155.06,1301.251,5.058276,1158.649
4.099998,PAUSE_AT_START,1307.06,6.976,1155.06,1301.289,5.069862,1158.626
4.119998,PAUSE_AT_START,1307.06,6.976,1155.06,1301.326,5.081469,1158.603
4.139998,PAUSE_AT_START,1307.06,6.976,1155.06,1301.364,5.093096,1158.58
4.159998,PAUSE_AT_START,1307.06,6.976,1155.06,1301.401,5.104746,1158.557
4.179998,PAUSE_AT_START,1307.06,6.976,1155.06,1301.439,5.116416,1158.534
4.199998,PAUSE_AT_START,1307.06,6.976,1155.06,1301.476,5.128105,1158.511
4.219998,PAUSE_AT_START,1307.06,6.976,1155.06,1301.514,5.139813,1158.488
4.239998,PAUSE_AT_START,1307.06,6.976,1155.06,1301.551,5.151538,1158.465
4.259998,PAUSE_AT_START,1307.06,6.976,1155.06,1301.589,5.163278,1158.442
4.279998,PAUSE_AT_START,1307.06,6.976,1155.06,1301.626,5.17503,1158.418
4.299998,PAUSE_AT_START,1307.06,6.976,1155.06,1301.664,5.18679,1158.395
4.319998,PAUSE_AT_START,1307.06,6.976,1155.06,1301.701,5.19856,1158.372
4.339998,PAUSE_AT_START,1307.06,6.976,1155.06,1301.739,5.210334,1158.349
4.359998,PAUSE_AT_START,1307.06,6.976,1155.06,1301.776,5.22211,1158.326
4.379999,PAUSE_AT_START,1307.06,6.976,1155.06,1301.814,5.23389,1158.303
4.399999,PAUSE_AT_START,1307.06,6.976,1155.06,1301.852,5.245672,1158.28
4.419999,PAUSE_AT_START,1307.06,6.976,1155.06,1301.889,5.257453,1158.257
4.439999,PAUSE_AT_START,1307.06,6.976,1155.06,1301.927,5.269234,1158.234
4.459999,PAUSE_AT_START,1307.06,6.976,1155.06,1301.965,5.281008,1158.211
4.479999,PAUSE_AT_START,1307.06,6.976,1155.06,1302.002,5.292775,1158.188
4.499999,PAUSE_AT_START,1307.06,6.976,1155.06,1302.04,5.304534,1158.165
4.519999,PAUSE_AT_START,1307.06,6.976,1155.06,1302.078,5.316288,1158.142
4.539999,PAUSE_AT_START,1307.06,6.976,1155.06,1302.115,5.328032,1158.118
4.559999,PAUSE_AT_START,1307.06,6.976,1155.06,1302.153,5.339769,1158.095
4.579998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.191,5.351501,1158.072
4.599998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.229,5.363226,1158.049
4.619998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.267,5.374944,1158.026
4.639998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.304,5.386654,1158.002
4.659998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.342,5.398361,1157.979
4.679998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.38,5.410062,1157.956
4.699998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.418,5.421762,1157.932
4.719998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.456,5.43346,1157.909
4.739998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.494,5.445157,1157.886
4.759998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.531,5.456855,1157.863
4.779998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.569,5.468556,1157.839
4.799998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.607,5.48026,1157.816
4.819998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.645,5.491967,1157.792
4.839998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.683,5.503679,1157.769
4.859998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.721,5.515397,1157.745
4.879998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.759,5.527121,1157.722
